,categoryNode,categoryPath,customerRating,itemId,largeImage,mediumImage,name,numReviews,parentItemId,salePrice,thumbnailImage,upc
15,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,4.071,932224106,https://i5.walmartimages.com/asr/107062e3-ea86-40bc-b189-ffdb17174f3a_1.66c7edb7a9dc354524bd5cbdcc70fde0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/107062e3-ea86-40bc-b189-ffdb17174f3a_1.66c7edb7a9dc354524bd5cbdcc70fde0.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-bs244wm 15.6"" Touchscreen Laptop, Windows 10, Intel Pentium N5000 Processor, 4GB Memory, 500 GB Hard Drive, DVD, Scarlet Red",13,932224106,349.0,https://i5.walmartimages.com/asr/107062e3-ea86-40bc-b189-ffdb17174f3a_1.66c7edb7a9dc354524bd5cbdcc70fde0.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192545103411
16,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,3.0,56123852,https://i5.walmartimages.com/asr/7ec0cf48-9f79-4a2c-84cb-50d2a723277b_1.07862a714cb601c008433699214058d5.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/7ec0cf48-9f79-4a2c-84cb-50d2a723277b_1.07862a714cb601c008433699214058d5.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"iView MEGATRON II - 14.1"" Convertible Touchscreen Laptop (2 in 1) with Windows 10, Intel Atom Processor, 2GB memory, 32GB storage, 2MP Front Camera and 5MP Rear Camera, 10 hour battery - Black",12,56123852,129.0,https://i5.walmartimages.com/asr/7ec0cf48-9f79-4a2c-84cb-50d2a723277b_1.07862a714cb601c008433699214058d5.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,880010013586
17,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,3.0,56153453,https://i5.walmartimages.com/asr/57bb3c89-e1fb-4e39-a732-58584cae141a_2.f583411f1ca7dae5176fb0967c6ecdd6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/57bb3c89-e1fb-4e39-a732-58584cae141a_2.f583411f1ca7dae5176fb0967c6ecdd6.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-bw004wm 15.6"" Pale Mint Laptop, Windows 10, AMD E2-9000e Processor, 4GB Memory, 500GB Hard Drive, DVD, with Wireless Mouse and Sleeve Included",20,56153453,249.0,https://i5.walmartimages.com/asr/57bb3c89-e1fb-4e39-a732-58584cae141a_2.f583411f1ca7dae5176fb0967c6ecdd6.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,191628993017
18,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,5.0,762707479,https://i5.walmartimages.com/asr/c8082c01-7522-4781-b685-5f5f6411d645_1.3acb48c147d2b401d45972404176d40d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/c8082c01-7522-4781-b685-5f5f6411d645_1.3acb48c147d2b401d45972404176d40d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 14-ak045wm 14” Chromebook, Chrome OS, Full HD IPS Display, Intel Celeron N2940 Processor, 4GB Memory, 16GB eMMC Storage",1,762707479,169.0,https://i5.walmartimages.com/asr/c8082c01-7522-4781-b685-5f5f6411d645_1.3acb48c147d2b401d45972404176d40d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192545800235
19,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,2.758,56123845,https://i5.walmartimages.com/asr/3273bf76-93f7-4350-9a44-9068e480ffea_1.71e658c3491ebb30bcb6d70a390b51a0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/3273bf76-93f7-4350-9a44-9068e480ffea_1.71e658c3491ebb30bcb6d70a390b51a0.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"14"" Ultra Slim Laptop, Windows 10 Home, Office 365 Personal 1-Year Subscription Included ($69.99 Value), Full HD, Intel Processor, 32GB storage, Front camera with 10 hour battery",33,56123845,179.0,https://i5.walmartimages.com/asr/3273bf76-93f7-4350-9a44-9068e480ffea_1.71e658c3491ebb30bcb6d70a390b51a0.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,827396534212
20,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,3.667,955642724,https://i5.walmartimages.com/asr/30479c85-5ec5-41be-a289-83d235cf0207_1.b94e70cc3d493cac7380cb0ef5aa636e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/30479c85-5ec5-41be-a289-83d235cf0207_1.b94e70cc3d493cac7380cb0ef5aa636e.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Dell Inspiron 15.6"" - Intel Core i5 - 8GB 2400MHz DDR4 - 1 TB 5400 RPM HDD - Intel HD graphics 620 - i3567-5149BLK",9,955642724,429.0,https://i5.walmartimages.com/asr/30479c85-5ec5-41be-a289-83d235cf0207_1.b94e70cc3d493cac7380cb0ef5aa636e.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,884116277149
21,3944_3951_1089430,Electronics/Computers/Laptops/Laptops By Brand/HP Laptops,3.0,410372666,https://i5.walmartimages.com/asr/d1bcb5c0-8ba3-4703-80a5-260aacdc81b9_1.34710f01670d3b27b3aa4beb5d8abd76.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/d1bcb5c0-8ba3-4703-80a5-260aacdc81b9_1.34710f01670d3b27b3aa4beb5d8abd76.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-bs234wm 15.6"" Laptop, Windows 10, Intel Pentium N5000 Processor, 4GB Memory, 500GB Hard Drive, DVD, Scarlet Red",7,410372666,299.0,https://i5.walmartimages.com/asr/d1bcb5c0-8ba3-4703-80a5-260aacdc81b9_1.34710f01670d3b27b3aa4beb5d8abd76.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192545103459
22,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,2.971,54056480,https://i5.walmartimages.com/asr/83fce361-1aa5-4dec-8f80-e89aa4a97a2f_1.93e64fec28a9c5a773e8587f056e1785.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/83fce361-1aa5-4dec-8f80-e89aa4a97a2f_1.93e64fec28a9c5a773e8587f056e1785.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",139,54056480,199.0,https://i5.walmartimages.com/asr/83fce361-1aa5-4dec-8f80-e89aa4a97a2f_1.93e64fec28a9c5a773e8587f056e1785.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,190780429617
23,3944_3951_1089430,Electronics/Computers/Laptops/Laptops By Brand/HP Laptops,3.656,441405265,https://i5.walmartimages.com/asr/0f0d775b-2f46-4fee-a7fa-77f5f0c62706_2.9ec024686629fce060f57330025f1045.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/0f0d775b-2f46-4fee-a7fa-77f5f0c62706_2.9ec024686629fce060f57330025f1045.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Stream 14-ax030wm 14” Smoke Gray, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron Processor N3060, 4GB Memory, 32GB Storage",32,441405265,216.1,https://i5.walmartimages.com/asr/0f0d775b-2f46-4fee-a7fa-77f5f0c62706_2.9ec024686629fce060f57330025f1045.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,191628063758
24,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,4.5,796266165,https://i5.walmartimages.com/asr/f857b626-9e12-4b45-a8df-303337251d02_2.65e7d8f51d0295040bc6b5145df9d260.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/f857b626-9e12-4b45-a8df-303337251d02_2.65e7d8f51d0295040bc6b5145df9d260.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Silver Iridium Ci5 15-cc050wm 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i5-7200U Processor, 12GB Memory, 1TB Hard Drive",32,796266165,517.0,https://i5.walmartimages.com/asr/f857b626-9e12-4b45-a8df-303337251d02_2.65e7d8f51d0295040bc6b5145df9d260.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,190781891659
25,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,3.967,677478400,https://i5.walmartimages.com/asr/5c65dac7-02da-4131-8d1f-097ea0efa278_1.093da82d2573a0bba86f927910534ce2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/5c65dac7-02da-4131-8d1f-097ea0efa278_1.093da82d2573a0bba86f927910534ce2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Acer A315-51-380T 15.6"" Laptop, 7th Gen Intel Core i3-7100U, 4GB DDR4, 1TB HDD, Windows 10 Home",30,677478400,349.99,https://i5.walmartimages.com/asr/5c65dac7-02da-4131-8d1f-097ea0efa278_1.093da82d2573a0bba86f927910534ce2.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,191114458686
26,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,5.0,55605363,https://i5.walmartimages.com/asr/52e728de-d946-4d23-a820-165e42c75b87_1.510005b6e5b1cf3194bd7e2a3c0cbc1c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/52e728de-d946-4d23-a820-165e42c75b87_1.510005b6e5b1cf3194bd7e2a3c0cbc1c.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Chromebook 11 G5 - Education Edition - 11.6"" - Celeron N3060 - 4 GB RAM - 16 GB SSD - US",1,55605363,159.0,https://i5.walmartimages.com/asr/52e728de-d946-4d23-a820-165e42c75b87_1.510005b6e5b1cf3194bd7e2a3c0cbc1c.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,190781580164
27,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,3.297,323892529,https://i5.walmartimages.com/asr/2787bc4e-d04b-4d47-b150-b8edcb0ccc05_2.87a35137ebb6b4098947295885fe93bb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/2787bc4e-d04b-4d47-b150-b8edcb0ccc05_2.87a35137ebb6b4098947295885fe93bb.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",37,323892529,324.0,https://i5.walmartimages.com/asr/2787bc4e-d04b-4d47-b150-b8edcb0ccc05_2.87a35137ebb6b4098947295885fe93bb.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,191628345618
28,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,4.8,55303451,https://i5.walmartimages.com/asr/03754196-ae73-4d06-ba74-5831dc6c80e0_1.9890c13bbfd9e619046c2ea8b8c73735.png?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/03754196-ae73-4d06-ba74-5831dc6c80e0_1.9890c13bbfd9e619046c2ea8b8c73735.png?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Acer Chromebook 14 CB3-431-C6ZB - 14"" - Celeron N3160 - 4 GB RAM - 32 GB SSD - US",15,55303451,219.0,https://i5.walmartimages.com/asr/03754196-ae73-4d06-ba74-5831dc6c80e0_1.9890c13bbfd9e619046c2ea8b8c73735.png?odnHeight=100&odnWidth=100&odnBg=FFFFFF,888863814268
29,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,3.955,51397784,https://i5.walmartimages.com/asr/9b973f64-ca78-462f-b248-36b8052e41fb_1.58de64f4934a2956f02b74e7a14dc234.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/9b973f64-ca78-462f-b248-36b8052e41fb_1.58de64f4934a2956f02b74e7a14dc234.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-ay041wm 15.6"" Silver Fusion Laptop, Touch Screen, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive",132,51397784,469.0,https://i5.walmartimages.com/asr/9b973f64-ca78-462f-b248-36b8052e41fb_1.58de64f4934a2956f02b74e7a14dc234.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,889899757697
30,3944_3951_1089430,Electronics/Computers/Laptops/Laptops By Brand/HP Laptops,3.96,535554960,https://i5.walmartimages.com/asr/4c94b1b1-8a5a-44a2-a9e0-bb909eba8156_2.b31b16a8bd66782a8f4298fefe622c0e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/4c94b1b1-8a5a-44a2-a9e0-bb909eba8156_2.b31b16a8bd66782a8f4298fefe622c0e.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Pavilion 17-ar050wm, 17.3"" Laptop, Full HD IPS Dislpay, Windows 10 Home, AMD A10-9620P QC, 8GB Memory, 1TB Hard Drive, Mineral Silver",25,535554960,619.99,https://i5.walmartimages.com/asr/4c94b1b1-8a5a-44a2-a9e0-bb909eba8156_2.b31b16a8bd66782a8f4298fefe622c0e.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,191628152414
